x y sim_mag det_mag det_magerr snr sim_flux sim_psf_flux sim_zpt det_flux det_fluxerr det_zpt image
1266.065 2218.548 18.978 19.36 0.038 28.9081 5339.731 5339.731 28.297 3755.45 129.91 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 21.405 nan -0.489 -2.2221 571.086 571.086 28.297 -301.79 135.81 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 20.395 22.38 0.632 1.7183 1447.512 1447.512 28.297 232.74 135.45 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 18.857 18.973 0.03 36.4991 5969.204 5969.204 28.297 5362.82 146.93 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 23.496 nan -0.383 -2.833 83.225 83.225 28.297 -381.89 134.8 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.0 2195.515 23.776 23.118 1.27 0.8549 64.283 64.283 28.297 117.85 137.85 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 22.864 23.619 1.963 0.5532 149.006 149.006 28.297 74.31 134.32 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 22.883 nan -0.379 -2.8674 146.382 146.382 28.297 -373.65 130.31 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1311.91 2207.754 19.034 19.139 0.032 34.2454 5070.202 5070.202 28.297 4604.3 134.45 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.526 2233.127 19.742 20.007 0.071 15.3919 2642.317 2642.317 28.297 2068.98 134.42 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1302.358 2200.604 22.955 nan -1.675 -0.6483 136.942 136.942 28.297 -94.71 146.09 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1257.922 2213.079 20.463 21.44 0.267 4.0642 1359.446 1359.446 28.297 553.18 136.11 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1302.274 2233.035 21.718 nan -0.353 -3.0787 428.208 428.208 28.297 -451.4 146.62 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1270.914 2192.494 21.687 nan -0.405 -2.6827 440.363 440.363 28.297 -386.28 143.99 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2193.285 23.485 nan -0.398 -2.73 84.083 84.083 28.297 -400.32 146.64 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1258.854 2175.307 20.664 21.999 0.41 2.6456 1130.494 1130.494 28.297 330.43 124.9 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1249.878 2171.297 19.803 19.936 0.063 17.3684 2497.587 2497.587 28.297 2210.13 127.25 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1262.845 2184.305 19.217 19.473 0.043 25.3684 4285.567 4285.567 28.297 3383.64 133.38 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake040_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1266.065 2218.548 23.625 nan -0.824 -1.3177 73.922 73.922 28.297 -171.18 129.91 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1274.895 2223.034 23.666 22.623 0.793 1.3691 71.2 71.2 28.297 185.94 135.81 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1320.116 2214.105 18.904 19.27 0.036 30.1259 5716.438 5716.438 28.297 4079.65 135.42 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1312.557 2231.075 21.905 nan -1.067 -1.0174 360.475 360.475 28.297 -148.95 146.4 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1325.374 2221.898 20.144 21.338 0.241 4.5083 1824.394 1824.394 28.297 607.63 134.78 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1292.0 2195.515 23.748 nan -0.169 -6.445 65.964 65.964 28.297 -888.12 137.8 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1282.432 2192.17 18.56 18.814 0.023 46.2696 7847.573 7847.573 28.297 6209.84 134.21 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
1283.516 2228.756 22.656 nan -4.478 -0.2425 180.369 180.369 28.297 -31.6 130.31 28.2967 /lustre/hpc/storage/dark/YSE/data/workspace/2020tlf_fake_tmpl/g/2020tlf.g.200118_2199244_2199.069_fake027_2199.069.g.18581117_3554774_1547.023.diff.forcedgrid.diffimstats
