14h40m10.24015936s +42d46m39.923726s
14h40m10.26555741s +42d46m41.91146717s
14h40m10.14592627s +42d46m43.67631462s
14h40m09.99580604s +42d46m45.14262789s
14h40m09.83233238s +42d46m46.42578407s
14h40m09.6604898s +42d46m47.56919529s
14h40m09.48238446s +42d46m48.59001509s
14h40m09.29902947s +42d46m49.49117685s
14h40m09.11088606s +42d46m50.26331067s
14h40m08.91807845s +42d46m50.87965587s
14h40m08.72062961s +42d46m51.27566904s
14h40m08.52046722s +42d46m51.25627924s
14h40m08.37874322s +42d46m49.94438941s
14h40m08.45544372s +42d46m47.94752293s
14h40m08.59434527s +42d46m46.35502593s
14h40m08.75211312s +42d46m44.98850874s
14h40m08.92014755s +42d46m43.77863008s
14h40m09.09529632s +42d46m42.69770769s
14h40m09.27610762s +42d46m41.73637114s
14h40m09.46188298s +42d46m40.89767465s
14h40m09.65234961s +42d46m40.19847531s
14h40m09.847486s +42d46m39.67998952s
